"","Value","Std. Error","t value","p value"
"tiempo_de_evolucion_de_diabetes",0.0912943469731433,0.0264797169593922,3.44770856550873,0.000565363714526531
"hb_a1c_num",0.139445586445111,0.117676953725234,1.18498637184903,0.236022835271449
"glucemia_num",-0.00309292119451503,0.00339459771022563,-0.911130407352292,0.36222666662323
"neuropatia_periferica_diabeticaSi",1.11949904857877,0.417162210063816,2.68360609271755,0.00728328625952814
"edad",-0.0142034285960093,0.0178078809584393,-0.797592292376489,0.425107125286678
"Normal|Leve",0.712587002055984,1.2229326929646,0.582687016346377,0.560104015186237
"Leve|Moderada",2.55861659515139,1.24913322322446,2.04831362066144,0.0405292792200719
"Moderada|Severa",4.03588432466383,1.29648310799965,3.11294786624009,0.00185228734530875
